ProtID	Resistance_Type	Resistance_Class	Identity	Antibiotic_Resistance	Description
AAB17563	Aac2Ic	aac	80	netilmicin,tobramycin,6_n_netilmicin,dibekacin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
CAB06689	Aac2Ic	aac	80	netilmicin,tobramycin,6_n_netilmicin,dibekacin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
AAK44495	Aac2Ic	aac	80	netilmicin,tobramycin,6_n_netilmicin,dibekacin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
CAD93132	Aac2Ic	aac	80	netilmicin,tobramycin,6_n_netilmicin,dibekacin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
YP_001848841	Aac2Ic	aac	80	netilmicin,tobramycin,6_n_netilmicin,dibekacin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
YP_905232	Aac2Ic	aac	80	netilmicin,tobramycin,6_n_netilmicin,dibekacin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
YP_001068559	Aac2I	aac	80	netilmicin,tobramycin,6_n_netilmicin,dibekacin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
YP_637442	Aac2I	aac	80	netilmicin,tobramycin,6_n_netilmicin,dibekacin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
YP_936282	Aac2I	aac	80	netilmicin,tobramycin,6_n_netilmicin,dibekacin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
YP_884847	Aac2Id	aac	80	netilmicin,tobramycin,6_n_netilmicin,dibekacin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
P94968	Aac2Id	aac	80	netilmicin,tobramycin,6_n_netilmicin,dibekacin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
P23181	Aac3Ia	aac	80	astromicin,sisomicin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
AAL51023	Aac3Ia	aac	80	astromicin,sisomicin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
CAA33850	Aac3Ia	aac	80	astromicin,sisomicin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
AAB60000	Aac3Ia	aac	80	astromicin,sisomicin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
CAA07079	Aac3Ia	aac	80	astromicin,sisomicin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
AAB20441	Aac3Ia	aac	80	astromicin,sisomicin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
YP_001715324	Aac3Ia	aac	80	astromicin,sisomicin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
YP_002317700	Aac3Ia	aac	80	astromicin,sisomicin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
CAJ77083	Aac3Ia	aac	80	astromicin,sisomicin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
ABO42026	Aac3Ia	aac	80	astromicin,sisomicin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
ABO42033	Aac3Ia	aac	80	astromicin,sisomicin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
CAM88357	Aac3Ia	aac	80	astromicin,sisomicin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
ACJ39717	Aac3Ia	aac	80	astromicin,sisomicin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
ACN81020	Aac3Ia	aac	80	astromicin,sisomicin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
NP_863004	Aac3Ia	aac	80	astromicin,sisomicin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
AAF68257	Aac3Ia	aac	80	astromicin,sisomicin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
AAK19122	Aac3Ia	aac	80	astromicin,sisomicin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
AAC77497	Aac3Ia	aac	80	astromicin,sisomicin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
CAC83785	Aac3Ia	aac	80	astromicin,sisomicin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
AAP74375	Aac3Ia	aac	80	astromicin,sisomicin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
AAT51721	Aac3Ia	aac	80	astromicin,sisomicin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
CAH04903	Aac3Ia	aac	80	astromicin,sisomicin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
AAX14007	Aac3Ia	aac	80	astromicin,sisomicin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
AAX14012	Aac3Ia	aac	80	astromicin,sisomicin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
ABD04043	Aac3Ia	aac	80	astromicin,sisomicin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
ABK35090	Aac3Ia	aac	80	astromicin,sisomicin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
ABY56258	Aac3Ia	aac	80	astromicin,sisomicin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
ACF60979	Aac3Ia	aac	80	astromicin,sisomicin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
ACH72992	Aac3Ia	aac	80	astromicin,sisomicin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
ACL80220	Aac3Ia	aac	80	astromicin,sisomicin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
CAJ32498	Aac3Ia	aac	80	astromicin,sisomicin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
CAA08847	Aac3Ia	aac	80	astromicin,sisomicin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
AAN41440	Aac3Ia	aac	80	astromicin,sisomicin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
AAK12088	Aac3Ia	aac	80	astromicin,sisomicin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
YP_245441	Aac3Ia	aac	80	astromicin,sisomicin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
CAI46944	Aac3Ia	aac	80	astromicin,sisomicin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
P13246	Aac3IIa	aac	85	netilmicin,tobramycin,sisomicin,dibekacin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
CAA31895	Aac3IIa	aac	85	netilmicin,tobramycin,sisomicin,dibekacin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
NP_775040	Aac3IIa	aac	85	netilmicin,tobramycin,sisomicin,dibekacin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
YP_194873	Aac3IIa	aac	85	netilmicin,tobramycin,sisomicin,dibekacin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
YP_001941134	Aac3IIa	aac	85	netilmicin,tobramycin,sisomicin,dibekacin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
YP_001966247	Aac3IIa	aac	85	netilmicin,tobramycin,sisomicin,dibekacin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
ZP_03215262	Aac3IIa	aac	85	netilmicin,tobramycin,sisomicin,dibekacin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
AAN87703	Aac3IIa	aac	85	netilmicin,tobramycin,sisomicin,dibekacin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
AAR05727	Aac3IIa	aac	85	netilmicin,tobramycin,sisomicin,dibekacin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
ABS70977	Aac3IIa	aac	85	netilmicin,tobramycin,sisomicin,dibekacin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
ACD76079	Aac3IIa	aac	85	netilmicin,tobramycin,sisomicin,dibekacin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
ACO57223	Aac3IIa	aac	85	netilmicin,tobramycin,sisomicin,dibekacin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
AAA19915	Aac3IIa	aac	85	netilmicin,tobramycin,sisomicin,dibekacin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
ACI02996	Aac3IIa	aac	85	netilmicin,tobramycin,sisomicin,dibekacin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
NP_957558	Aac3IIa	aac	85	netilmicin,tobramycin,sisomicin,dibekacin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
P0A256	Aac3IIa	aac	85	netilmicin,tobramycin,sisomicin,dibekacin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
AAN61405	Aac3IIa	aac	85	netilmicin,tobramycin,sisomicin,dibekacin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
CAA31891	Aac3IIa	aac	85	netilmicin,tobramycin,sisomicin,dibekacin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
CAA31893	Aac3IIa	aac	85	netilmicin,tobramycin,sisomicin,dibekacin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
AAB20442	Aac3IIa	aac	85	netilmicin,tobramycin,sisomicin,dibekacin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
ACF06169	Aac3IIa	aac	85	netilmicin,tobramycin,sisomicin,dibekacin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
P29807	Aac3IIa	aac	85	netilmicin,tobramycin,sisomicin,dibekacin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
AAA21890	Aac3IIa	aac	85	netilmicin,tobramycin,sisomicin,dibekacin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
AAN34370	Aac3IIa	aac	85	netilmicin,tobramycin,sisomicin,dibekacin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
JE0138	Aac3IIa	aac	85	netilmicin,tobramycin,sisomicin,dibekacin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
Q01515	Aac3IIb	aac	85	netilmicin,tobramycin,sisomicin,dibekacin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
P29808	Aac3III	aac	80	tobramycin,paromomycin,neomycin,kanamycin,sisomicin,dibekacin,gentamicin,lividomycin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
P08988	Aac3IV	aac	80	netilmicin,tobramycin,sisomicin,dibekacin,gentamicin,apramycin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
CAA25642	Aac3IV	aac	80	netilmicin,tobramycin,sisomicin,dibekacin,gentamicin,apramycin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
ABB43029	Aac3IV	aac	80	netilmicin,tobramycin,sisomicin,dibekacin,gentamicin,apramycin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
ACI04668	Aac3IV	aac	80	netilmicin,tobramycin,sisomicin,dibekacin,gentamicin,apramycin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
P29810	Aac3IX	aac	80	neomycin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
AAA16194	Aac3VI	aac	80	sisomicin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
YP_001102018	Aac3VI	aac	80	sisomicin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
YP_001481443	Aac3VI	aac	80	sisomicin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
YP_002891158	Aac3VI	aac	80	sisomicin,gentamicin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
P30180	Aac3VII	aac	80	paromomycin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
AAA88552	Aac3VII	aac	80	paromomycin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
P29809	Aac3VIII	aac	80	neomycin,ribostamycin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
CAH58703	Aac3VIII	aac	80	neomycin,ribostamycin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
BAD95833	Aac3VIII	aac	80	neomycin,ribostamycin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
CAF33325	Aac3VIII	aac	80	neomycin,ribostamycin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
CAG34706	Aac3VIII	aac	80	neomycin,ribostamycin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
CAG34024	Aac3VIII	aac	80	neomycin,ribostamycin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
YP_001821804	Aac3X	aac	80	aminoglycoside	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
BAA78619	Aac3X	aac	80	aminoglycoside	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
BAG17121	Aac3X	aac	80	aminoglycoside	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
P10051	Aac6Ia	aac	80	isepamicin,netilmicin,tobramycin,amikacin,sisomicin,dibekacin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
AAA98298	Aac6Ia	aac	80	isepamicin,netilmicin,tobramycin,amikacin,sisomicin,dibekacin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
AAA72107	Aac6Ia	aac	80	isepamicin,netilmicin,tobramycin,amikacin,sisomicin,dibekacin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
AAC14729	Aac6Ia	aac	80	isepamicin,netilmicin,tobramycin,amikacin,sisomicin,dibekacin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
BAB72153	Aac6Ia	aac	80	isepamicin,netilmicin,tobramycin,amikacin,sisomicin,dibekacin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
BAD06400	Aac6Ia	aac	80	isepamicin,netilmicin,tobramycin,amikacin,sisomicin,dibekacin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
BAD08690	Aac6Ia	aac	80	isepamicin,netilmicin,tobramycin,amikacin,sisomicin,dibekacin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
AAG45714	Aac6Ia	aac	80	isepamicin,netilmicin,tobramycin,amikacin,sisomicin,dibekacin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
NP_608307	Aac6Ib	aac	85	isepamicin,netilmicin,tobramycin,amikacin,sisomicin,dibekacin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
YP_001338668	Aac6Ib	aac	85	isepamicin,netilmicin,tobramycin,amikacin,sisomicin,dibekacin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
YP_001928078	Aac6Ib	aac	85	isepamicin,netilmicin,tobramycin,amikacin,sisomicin,dibekacin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
YP_002286819	Aac6Ib	aac	85	isepamicin,netilmicin,tobramycin,amikacin,sisomicin,dibekacin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
P19650	Aac6Ib	aac	85	isepamicin,netilmicin,tobramycin,amikacin,sisomicin,dibekacin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
AAA69747	Aac6Ib	aac	85	isepamicin,netilmicin,tobramycin,amikacin,sisomicin,dibekacin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
AAA98404	Aac6Ib	aac	85	isepamicin,netilmicin,tobramycin,amikacin,sisomicin,dibekacin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
ABA54975	Aac6Ib	aac	85	isepamicin,netilmicin,tobramycin,amikacin,sisomicin,dibekacin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
ACI63081	Aac6Ib	aac	85	isepamicin,netilmicin,tobramycin,amikacin,sisomicin,dibekacin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
ACL36604	Aac6Ib	aac	85	isepamicin,netilmicin,tobramycin,amikacin,sisomicin,dibekacin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
AAT70791	Aac6Ib	aac	85	isepamicin,netilmicin,tobramycin,amikacin,sisomicin,dibekacin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
AAK51920	Aac6Ib	aac	85	isepamicin,netilmicin,tobramycin,amikacin,sisomicin,dibekacin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
P20092	Aac6Ib	aac	85	isepamicin,netilmicin,tobramycin,amikacin,sisomicin,dibekacin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
YP_002791392	Aac6Ib	aac	85	isepamicin,netilmicin,tobramycin,amikacin,sisomicin,dibekacin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
ABC54722	Aac6Ib	aac	85	isepamicin,netilmicin,tobramycin,amikacin,sisomicin,dibekacin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
NP_863005	Aac6Ib	aac	85	isepamicin,netilmicin,tobramycin,amikacin,sisomicin,dibekacin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
YP_001844882	Aac6Ib	aac	85	isepamicin,netilmicin,tobramycin,amikacin,sisomicin,dibekacin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
AAC46343	Aac6Ib	aac	85	isepamicin,netilmicin,tobramycin,amikacin,sisomicin,dibekacin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
ABG77519	Aac6Ib	aac	85	isepamicin,netilmicin,tobramycin,amikacin,sisomicin,dibekacin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
AAD02244	Aac6Ib	aac	85	isepamicin,netilmicin,tobramycin,amikacin,sisomicin,dibekacin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
AAL51021	Aac6Ib	aac	85	isepamicin,netilmicin,tobramycin,amikacin,sisomicin,dibekacin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
AAU89126	Aac6Ib	aac	85	isepamicin,netilmicin,tobramycin,amikacin,sisomicin,dibekacin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
AAA26549	Aac6Ic	aac	80	isepamicin,netilmicin,tobramycin,amikacin,sisomicin,dibekacin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
AAC41391	Aac6I	aac	80	isepamicin,netilmicin,tobramycin,amikacin,sisomicin,dibekacin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
AAD03494	Aac6I	aac	80	isepamicin,netilmicin,tobramycin,amikacin,sisomicin,dibekacin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
AAD03492	Aac6I	aac	80	isepamicin,netilmicin,tobramycin,amikacin,sisomicin,dibekacin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
AAD03496	Aac6I	aac	80	isepamicin,netilmicin,tobramycin,amikacin,sisomicin,dibekacin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
AAD03493	Aac6I	aac	80	isepamicin,netilmicin,tobramycin,amikacin,sisomicin,dibekacin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
AAD03491	Aac6I	aac	80	isepamicin,netilmicin,tobramycin,amikacin,sisomicin,dibekacin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
NP_115315	Aac6Ie	aac	80	isepamicin,netilmicin,tobramycin,amikacin,sisomicin,dibekacin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
NP_816984	Aac6Ie	aac	80	isepamicin,netilmicin,tobramycin,amikacin,sisomicin,dibekacin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
NP_863643	Aac6Ie	aac	80	isepamicin,netilmicin,tobramycin,amikacin,sisomicin,dibekacin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
NP_878008	Aac6Ie	aac	80	isepamicin,netilmicin,tobramycin,amikacin,sisomicin,dibekacin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
YP_189150	Aac6Ie	aac	80	isepamicin,netilmicin,tobramycin,amikacin,sisomicin,dibekacin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
YP_253526	Aac6Ie	aac	80	isepamicin,netilmicin,tobramycin,amikacin,sisomicin,dibekacin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
YP_001220639	Aac6Ie	aac	80	isepamicin,netilmicin,tobramycin,amikacin,sisomicin,dibekacin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
YP_001312300	Aac6Ie	aac	80	isepamicin,netilmicin,tobramycin,amikacin,sisomicin,dibekacin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
YP_001715988	Aac6Ie	aac	80	isepamicin,netilmicin,tobramycin,amikacin,sisomicin,dibekacin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
YP_002274416	Aac6Ie	aac	80	isepamicin,netilmicin,tobramycin,amikacin,sisomicin,dibekacin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
ZP_03562729	Aac6Ie	aac	80	isepamicin,netilmicin,tobramycin,amikacin,sisomicin,dibekacin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
ZP_03566649	Aac6Ie	aac	80	isepamicin,netilmicin,tobramycin,amikacin,sisomicin,dibekacin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
ZP_03949971	Aac6Ie	aac	80	isepamicin,netilmicin,tobramycin,amikacin,sisomicin,dibekacin	Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. 
